School Name [Public School] 2015-16,GreatSchools Rating,County Name [Public School] 2015-16,Location City [Public School] 2015-16,Location State Abbr [Public School] 2015-16
Deer Park Middle Magnet School,4,Baltimore County,RANDALLSTOWN,MD 
Deerfield Elementary,5,Harford County,EDGEWOOD,MD 
Deerfield Run Elementary,3,Prince George's County,LAUREL,MD 
Delmar Elementary,6,Wicomico County,DELMAR,MD 
Denton Elementary School,7,Caroline County,DENTON,MD 
Diamond Elementary,9,Montgomery County,GAITHERSBURG,MD 
Dickey Hill Elementary/Middle,3,Baltimore city,BALTIMORE,MD 
Digital Harbor High School,2,Baltimore city,BALTIMORE,MD 
District Heights Elementary,1,Prince George's County,DISTRICT HEIGHTS,MD 
Dodge Park Elementary,2,Prince George's County,LANDOVER,MD 
Dogwood Elementary,4,Baltimore County,BALTIMORE,MD 
Dora Kennedy French Immersion,NR,Prince George's County,SEABROOK,MD 
Dorchester County Career and Technology Center,NaN,Dorchester County,CAMBRIDGE,MD 
Doswell E. Brooks Elementary,4,Prince George's County,CAPITAL HEIGHTS,MD 
Dowell Elementary,6,Calvert County,LUSBY,MD 
Dr. Bernard Harris Sr. Elementary,1,Baltimore city,BALTIMORE,MD 
Dr. Carter Godwin Woodson,1,Baltimore city,BALTIMORE,MD 
Dr. Charles R. Drew Elementary,8,Montgomery County,SILVER SPRING,MD 
Dr. Gustavus Brown Elementary,6,Charles County,WALDORF,MD 
Dr. Henry A. Wise Jr. High,3,Prince George's County,UPPER MARLBORO,MD 
Dr. James A. Forrest Career and Technology Center,NaN,St. Mary's County,LEONARDTOWN,MD 
Dr. James Craik Elementary School,9,Charles County,POMFRET,MD 
Dr. Martin Luther King Jr. Elementary,1,Baltimore city,BALTIMORE,MD 
Dr. Nathan A. Pitts-Ashburton Elementary/Middle,2,Baltimore city,BALTIMORE,MD 
Dr. Rayner Browne Elementary,NaN,Baltimore city,BALTIMORE,MD 
Dr. Sally K. Ride Elementary,5,Montgomery County,GERMANTOWN,MD 
Dr. Samuel A. Mudd Elementary School,5,Charles County,WALDORF,MD 
Dr. Thomas L. Higdon Elementary,7,Charles County,NEWBURG,MD 
